timestamp,x_m,y_m,z_m,deflection_m,RMS,stability
11:43:55,-0.9785585939961837,-0.45108382494101634,1.5930000253320629,1.0775219436314072,1.0775219436314072,CRITICAL
11:43:55,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0827523080012036,CRITICAL
11:43:55,-0.9880126005941472,-0.45686352617583376,1.608460614460652,1.0885279879188345,1.0846809517774483,CRITICAL
11:43:55,-0.9880126005941472,-0.45686352617583376,1.608460614460652,1.0885279879188345,1.0856439888298004,CRITICAL
11:43:55,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0861070908419463,CRITICAL
11:43:55,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0864157158474865,CRITICAL
11:43:55,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.086636108613518,CRITICAL
11:43:56,-0.988163436450805,-0.45616271054968277,1.6108526596150603,1.0883709825396384,1.086853119298636,CRITICAL
11:43:56,-0.988163436450805,-0.45616271054968277,1.6108526596150603,1.0883709825396384,1.0870218754349834,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0871154768939848,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0871920539119038,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0872558639735206,CRITICAL
11:43:56,-0.9972602519633437,-0.45929454531419606,1.6234039798344186,1.0979432997661427,1.0880817013455395,CRITICAL
11:43:56,-0.9885561733539526,-0.4549171673002303,1.6091811102281761,1.08820629339325,1.0880906012506406,CRITICAL
11:43:56,-0.9885561733539526,-0.4549171673002303,1.6091811102281761,1.08820629339325,1.0880983144428449,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0880895158015798,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0880817522354953,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0880748512413612,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0880686766305614,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.0880631194508823,CRITICAL
11:43:56,-0.9880522654121632,-0.45541662548764456,1.6084124954303118,1.0879575276437317,1.088058091501954,CRITICAL
11:43:56,-0.9831557195931527,-0.4533494490722806,1.6010000985715067,1.0826453213970262,1.0878126407880764,CRITICAL
11:43:56,-0.9797400921032922,-0.4519294436273102,1.5924589230564823,1.0789489654714246,1.0874287659263637,CRITICAL
11:43:56,-0.9797400921032922,-0.4519294436273102,1.5924589230564823,1.0789489654714246,1.0870767615541796,CRITICAL
11:43:56,-0.9856959876721568,-0.4546751814408939,1.6046070297765567,1.0855073010953444,1.0870140266435984,CRITICAL
11:43:56,-0.992558206787418,-0.4584528342147673,1.6153417192148565,1.0933209936064558,1.0872572788029315,CRITICAL
11:43:56,-0.992558206787418,-0.4584528342147673,1.6153417192148565,1.0933209936064558,1.087482463768692,CRITICAL
11:43:56,-0.992558206787418,-0.4584528342147673,1.6153417192148565,1.0933209936064558,1.087691522350039,CRITICAL
11:43:56,-0.988388140395825,-0.4566983701167444,1.6079925777405752,1.088799576296027,1.0877297498970597,CRITICAL
11:43:56,-0.988388140395825,-0.4566983701167444,1.6079925777405752,1.088799576296027,1.087765427728866,CRITICAL
11:43:56,-0.992558206787418,-0.4584528342147673,1.6153417192148565,1.0933209936064558,1.0879450823415422,CRITICAL
11:43:56,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.0878959696196355,CRITICAL
11:43:56,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.087849831406555,CRITICAL
11:43:56,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.0878064054183854,CRITICAL
11:43:56,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.087765459327362,CRITICAL
11:43:56,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.0877267866038782,CRITICAL
11:43:57,-0.988388140395825,-0.4566983701167444,1.6079925777405752,1.088799576296027,1.087755794831154,CRITICAL
11:43:57,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.0877194115614364,CRITICAL
11:43:57,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.0876848929754117,CRITICAL
11:43:57,-0.986053543732957,-0.45596419139542954,1.604224896238009,1.0863723739782831,1.087652099303973,CRITICAL
11:43:57,-0.9901597820784508,-0.4573488844798049,1.6103831701773352,1.0906807031301906,1.0877260680192593,CRITICAL
11:43:57,-0.9901597820784508,-0.4573488844798049,1.6103831701773352,1.0906807031301906,1.0877965097385625,CRITICAL
11:43:57,-0.9721538102018936,-0.4497446351596125,1.5810955168792566,1.0711457732469993,1.0874121790225193,CRITICAL
11:43:57,-0.9721538102018936,-0.4497446351596125,1.5810955168792566,1.0711457732469993,1.0870451911266004,CRITICAL
11:43:57,-0.9901597820784508,-0.4573488844798049,1.6103831701773352,1.0906807031301906,1.087126112365842,CRITICAL
11:43:57,-0.9901597820784508,-0.4573488844798049,1.6103831701773352,1.0906807031301906,1.0872035096544281,CRITICAL
